                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0174,                 3.4192,                 1.2757,                 0.0209,                0.41349,                0.22867,                0.18625,                0.73069,                  3.652,                0.99885,                0.00015,                0.00015,                0.00015
                      2,                0.89461,                 2.3827,                 1.1603,                0.02635,                0.44741,                0.22928,                0.17867,                0.75582,                 3.3027,                0.98436,             0.00030941,             0.00030941,             0.00030941
                      3,                    0.9,                 1.6005,                 1.1324,                0.93524,                0.21739,                0.67058,                0.50774,                0.85209,                 2.7521,                 1.0493,              0.0004656,              0.0004656,              0.0004656
                      4,                0.88665,                 1.4017,                 1.1258,                0.91087,                0.29528,                0.74555,                0.57253,                0.90119,                 2.3825,                 1.0234,             0.00061857,             0.00061857,             0.00061857
                      5,                0.86096,                 1.2954,                 1.0803,                0.79644,                0.41002,                0.80226,                0.58238,                0.92448,                 2.3071,                 1.0813,             0.00076832,             0.00076832,             0.00076832
                      6,                 0.8623,                 1.1584,                  1.069,                0.78384,                0.51632,                0.82772,                0.60643,                0.98081,                 2.2531,                 1.1444,             0.00091486,             0.00091486,             0.00091486
                      7,                0.91119,                 1.1438,                 1.0718,                0.83677,                0.62466,                0.88626,                0.67299,                 0.9128,                  1.938,                 1.1237,              0.0010582,              0.0010582,              0.0010582
                      8,                 0.8767,                  1.123,                 1.0841,                0.81477,                0.56172,                0.87115,                0.66254,                0.92676,                 2.0509,                 1.1388,              0.0011634,              0.0011634,              0.0011634
                      9,                0.89093,                 1.1094,                 1.1053,                0.75709,                0.74919,                0.88568,                0.65527,                0.94513,                 2.3321,                 1.1252,              0.0011634,              0.0011634,              0.0011634
                     10,                0.85688,                 1.0236,                 1.0681,                 0.7543,                 0.8395,                0.91532,                0.68688,                0.90008,                 1.9331,                  1.072,               0.001151,               0.001151,               0.001151
                     11,                0.94182,                 1.1133,                 1.1216,                0.86901,                0.82896,                 0.9176,                0.65857,                0.93615,                 1.5555,                 1.0766,              0.0011386,              0.0011386,              0.0011386
                     12,                0.90515,                 1.0828,                 1.0937,                0.85438,                0.82094,                0.90514,                 0.6305,                 1.0484,                 1.7072,                 1.2376,              0.0011263,              0.0011263,              0.0011263
