                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4117,                 2.8148,                 1.7549,                0.61343,                0.88257,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2485,                 2.6203,                 1.4407,                0.59671,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2564,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1415,                 4.2181,                 1.4953,                0.57907,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2661,                 2.6681,                 1.4493,                0.54575,                0.85512,                0.87204,                0.60505,                 1.4538,                 1.4203,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3364,                 2.8558,                 1.6306,                0.57001,                0.83333,                0.87216,                0.59728,                 1.4799,                 1.4541,                 1.2953,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6309,                 4.7092,                 1.9229,                0.85374,                0.57275,                0.87401,                0.58054,                 1.4912,                 1.5085,                 1.3102,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.3914,                 2.0852,                 1.5503,                0.83787,                0.56667,                0.88591,                0.57901,                 1.5057,                 1.5481,                 1.3207,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5184,                  3.142,                 1.7843,                0.83581,                0.56667,                 0.8823,                0.54688,                 1.5175,                 1.6266,                 1.3411,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                   1.07,                  2.584,                 1.3514,                0.81974,                0.56667,                0.81407,                0.54188,                 1.5424,                 1.6872,                 1.3593,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.96966,                 3.3461,                 1.4882,                0.79875,                0.56667,                0.74406,                0.52624,                 1.5564,                  1.738,                 1.3765,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3482,                 2.7449,                 1.5312,                0.79684,                0.58041,                 0.7444,                0.53452,                 1.5552,                 1.7482,                 1.3768,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0398,                  2.047,                 1.3986,                0.77938,                0.58333,                0.74317,                0.53225,                   1.54,                 1.7653,                 1.3681,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96675,                 2.5684,                 1.2306,                0.75217,                0.58333,                 0.7431,                0.53447,                 1.5244,                 1.7789,                 1.3592,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3961,                 2.4264,                  1.806,                0.76515,                0.58333,                 0.7431,                0.52632,                 1.5158,                  1.805,                  1.356,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.81293,                 1.6908,                 1.1167,                0.78423,                0.58333,                0.74157,                0.52288,                 1.5061,                 1.8258,                 1.3471,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0881,                 2.1299,                 1.5162,                0.92653,                0.37328,                0.74164,                 0.5345,                 1.5151,                 1.8475,                 1.3526,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82772,                 1.6548,                 1.1603,                0.92748,                0.37254,                0.65993,                0.49842,                 1.5149,                 1.8782,                 1.3566,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1173,                 1.6097,                 1.3408,                0.92748,                0.37254,                0.65993,                0.49842,                 1.5149,                 1.8782,                 1.3566,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.97202,                 1.6743,                 1.1637,                0.92593,                0.37354,                0.63236,                0.48465,                 1.5487,                 1.9661,                 1.3654,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0166,                 1.5942,                 1.3222,                0.92593,                0.37354,                0.63236,                0.48465,                 1.5487,                 1.9661,                 1.3654,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                  1.262,                 2.7468,                 1.6423,                0.92078,                0.37325,                0.60376,                 0.4653,                  1.593,                 2.0734,                 1.4073,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.2818,                 2.4864,                 1.6774,                0.92078,                0.37325,                0.60376,                 0.4653,                  1.593,                 2.0734,                 1.4073,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.92869,                  1.887,                 1.3996,                 0.9174,                0.37323,                0.59343,                0.46189,                 1.6087,                  2.133,                  1.419,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                  1.058,                 2.1942,                 1.5371,                 0.9174,                0.37323,                0.59343,                0.46189,                 1.6087,                  2.133,                  1.419,             2.1138e-05,             2.1138e-05,             2.1138e-05
