                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.186,                 1.3611,                 1.1952,                0.64476,                0.53587,                0.61257,                0.44953,                 1.0858,                 1.1266,                 1.1252,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1337,                 1.3274,                 1.1913,                0.66874,                0.56242,                0.63287,                0.46879,                 1.0734,                 1.0979,                 1.1174,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                 1.1516,                 1.3163,                 1.1764,                0.67553,                0.56175,                0.64399,                0.47619,                 1.0667,                 1.0779,                 1.1106,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                 1.1433,                 1.2998,                  1.198,                0.70308,                0.57141,                0.65362,                0.48717,                 1.0604,                 1.0527,                 1.1068,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                 1.0929,                 1.2551,                 1.1518,                0.68684,                0.60103,                0.66497,                0.49553,                 1.0523,                 1.0287,                 1.1027,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                 1.1297,                 1.1984,                 1.1776,                0.70668,                0.60462,                  0.675,                0.50662,                 1.0455,                 1.0072,                 1.0977,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                 1.0945,                 1.2239,                 1.1587,                0.71938,                0.61268,                0.68203,                0.51112,                 1.0404,                0.99444,                 1.0938,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                 1.0931,                 1.1742,                 1.1564,                0.76379,                0.59874,                0.68999,                0.51584,                 1.0363,                0.98282,                 1.0895,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                 1.1104,                  1.169,                 1.1778,                0.70817,                0.62603,                0.69275,                0.52061,                  1.033,                0.97271,                  1.088,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                  1.102,                 1.1582,                 1.1599,                0.75305,                0.60484,                0.69448,                0.52151,                 1.0305,                0.97115,                 1.0861,             1.0247e-05,             1.0247e-05,             1.0247e-05
